bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
"তারা মেডিকেল সেন্টার, "
"সড়ক ৬/সি, "
"পূর্ব হিংগুলী বাজার, "
"মানিক হোটেল, "
"মুন্সিগঞ্জ কাসেমিয়া এমদাদুল উলুম মাদ্রাসা মসজিদ, "
"গালিমখান, "
"চুয়াডাঙ্গা-কুষ্টিয়া মহাসড়ক, "
"বালাবাড়ী হাট, "
"দক্ষিণ বালাপাড়া, "
গোমতী বেড়িবাধ সড়ক
"বলসিদ, "
"বিটিভি প্রবেশপথ, "
"মাস্টারটেক, "
"রুপালী ব্যাংক, "
"বাইতুস সালাম জামে মসজিদ, "
"ফতেহপুর, "
"দক্ষিণ পাড়া গলি মাদবর বাজার সড়ক, "
"আইবিবিএল ব্যাংক এটিএম, "
"দুূর্বা পুকুরিয়া, "
"রহমত বাজার, "
"বাংলাদেশ জাতীয় গ্রন্থাগার, "
"ধোপাখোলা, "
"৬ষ্ঠ লেন, "
"শান্ত হোটেল, "
"বামুন্দী, "
"জালালপুর, "
"ফুলদিঘী জামে মসজিদ, "
"শোল্লা, "
"ইসলামিয়া হাসপাতাল, "
রানীহাট
"সাদেক হোসেন খোকা খেলার মাঠ, "
"আমানউল্যা, "
"সিরাজগঞ্জ ঘাট, "
তেরখাদা নর্থ খুলনা কলেজ রোড
"আলম বিদিতর, "
"চুলা সরকারী প্রাথমীক বিদ্যালয়, "
"হরিণাকুণ্ডু, "
"সুমি রুমি ফার্মেসি, "
"বারথী ইউনিয়ন, "
"বড়িচং উপজেলা, "
"প্রজন্ম বাস স্টপ জগন্নাথ বিশ্ববিদ্যালয়, "
"বিআরটিসি কমলাপুর বাস ডিপো, "
"লালমনি মেস, "
"আবুল কালাম আজাদ মার্কেট, "
"নরদদীন আহমেদ সড়ক, "
"মসজিদ মুহাম্মদি, "
"প্যান প্যাসিফিক হাসপাতাল, "
"চিটাগং পাড়া, "
"উত্তর বেদকাশী, "
"মির্জাকালু লঞ্চঘাট হাকিমুদ্দিন।, "
"বস্তা, "
"কষটিয়া-হরিপর সেত, "
"শানতিনগর রোড, "
"কেশবপুর, "
"বড় পাইকা, "
"সেক্টর ১৫, "
"পাটগ্রাম পৌরসভা কেন্দ্রীয় বাস টার্মিনাল, "
"শ্রীফলতলী, "
"চর ভাগল, "
"ইসলামী ব্যাংক বাংলাদেশ বহুবস্তুসম্পর্কীয় এটিএম, "
"ঢাকন্তা, "
"আদরশ সকল রোড, "
"কুন্দইল বাজার, "
"অলিপরা - বিলবিলাস সড়ক, "
"ছোট গোবিন্দ মন্দির, "
"মল্লিকপুর ভিটা, "
"সহস্রাইল, "
"চুনাখালী বাজার জামে মসজিদ, "
"উতড়া, "
"ইস্কাটন গার্ডেন রোড, "
"সানি ফাস্ট ফুড এন্ড কনফেকশনারী, "
"ভাটি রসুলপুর, "
"উত্তর খান মাজার সড়ক, "
"ফেনী কোর্ট মসজিদ, "
"ফুলবাড়ীয়া, "
"সোমভাগ, "
"মনসী বাড়ী সড়ক, "
"ঠাকুরগাঁও, "
"আইসিবি ইসলামী ব্যাংক, "
"আশা অফিস, "
"মোরেলগঞ্জ, "
"মায়ের দোয়া সেলুন, "
"ঢাকা - টাঙ্গাইল মহাসড়ক, "
তেবাইদা রাসতা
"মমতাজ উদ্দিন জেনারেল হাসপাতাল, "
"মাদ্রাসা পাড়া, "
"ছনটেক, "
"দেওয়ান পুকুর, "
"জগতপুর, "
"স্বাস্থ্য কমপ্লেক্স, "
"হিরন স্কয়ার, "
"খোকন মাসটারের গলি, "
"লিলি গার্ডেন, "
"পাবলিক টয়লেট, "
"আতীশ্বর, "
পালড়া রাস্তা
"গুলশান বাড্ডা লিংক রোড, "
"সড়ক নং ১৮, "
"বাজিতপুর-কুলিয়ারচর সড়ক, "
"আক্কেল আলীর গলি, "
রেলরোড বাইপাস পুরাতন রুপসা বাগেরহাট রোড
ফরেষ্টর দোকান রোড হাইডচাকিয়া
"কাশিপুর মুহাম্মাদিয়া ফাজিল ডিগ্রি মাদ্রাসা, "
"চরখালি-তুষখালি-মঠবাড়িয়া সড়ক, "
"শিশু পার্ক, "
"ডি.বি.বি.এল. ব্যাংক, "
"প্যারামাউন্ট, "
"গনি মিয়া মাদরাসা গলি, "
"দরবার-এ-পেশোয়ারী, "
"বানদরবান-রোয়াংছড়ি সড়ক, "
"রাঙগাবালী উপজেলা, "
"পাইকগাছা, "
"এন আর বি কমার্শিয়াল ব্যাংক, "
"যশোর বিমানবন্দর, "
"চৌমাথা বাজার, "
"বাহিরদিয়া, "
"মালিবাগ, "
"নাজিরা বাজার, "
"এইচ এম সেন রোড, "
"আফিল উদ্দিন সড়ক, "
"বন্ধু অটো কালার ব্যাংক, "
"শহীদ মিনার রোড, "
"দেওয়ান বাড়ির গলি, "
"সেক্টর ২৫, "
"তাল শহর, "
"কোম্পানি ঘাট সড়ক, "
"মাজার শরীফ, "
"রাজবাড়ী জামে মসজিদ, "
"রমজান টি স্টল, "
"নাসিরেরকান্দি, "
"সাথী সিনেমা হল সড়ক, "
"ইত্যাদি বেকারী, "
"জৈবরসায়ন ও অণুজীব বিজ্ঞান অনুষদ, "
"খুলনা পলিটেকনিক ইনস্টিটিউট, "
"ব্রাহ্মণপাড়া, "
"হাজী আনোয়ার আলী সওদাগর বাড়ী রোড, "
"আলমডাঙ্গা সড়ক, "
"পূরব রসলপর ৩নং সড়ক, "
"মেরিন পারক, "
"রান্ধনীমুড়া, "
"ঢাকেশ্বরী জাতীয় মন্দির, "
"সিআরপি সড়ক, "
"রায়গঞ্জ, "
"কলাপাড়া, "
বাইপাস সড়ক
"শারশা উপজেলা, "
"কমলগঞজ উপজেলা, "
"কেন্দুয়া-আঠারোবাড়ি-নান্দাইল সড়ক, "
"নিউ মার্কেট মসজিদ, "
"রাঙ্গামাটি-বান্দরবান সড়ক, "
"সারদা মকতারপর সড়ক, "
"বনানী উপ ডাকঘর, "
"বিকেএম শিল্প সড়ক, "
"জিএইচটি ওকেআইডি হেলথ্ ক্লিনিক, "
"রূপালী ব্যাংক বি বি অ্যাভিনিউ শাখা, "
"কাটাসুর, "
"সুলতানগঞ্জ, "
"কাঁটাবন রোড, "
"বাগধা ইউনিয়ন, "
"মদিনাতুল উলুম মহিলা মাদ্রাসা, "
"কাটাখালি, "
"মোহাম্মাদপুর ঈদগাহ, "
"নবাবগঞজ উপজেলা, "
"লাইবা আইল্যান্ড, "
"বাদামতলী, "
"বাংলাদেশ বেতার মসজিদ, "
"গণ বিশ্ববিদ্যালয় ছাত্রাবাস-৩, "
"চন্দনতলা, "
"ঢালারমূখ জামে মসজিদ, "
"শিশির ছাত্রাবাস, "
"শ্রী শ্রী আনন্দময়ী কালীবাড়ি, "
"বেজেরডাঙ্গা, "
"মাস্টার গার্মেন্টস অ্যান্ড বস্ত্রালয়, "
"কিছুক্ষন আবাসিক হোটেল, "
"বাসাইল শ্মসান, "
"রাবেয়া ভিলা, "
"নারায়ণগঞ্জ - মুন্সীগঞ্জ মহাসড়ক, "
"হেদার খাল, "
"আশরাফাবাদ উচ্চ বিদ্যালয় সড়ক, "
"রংপর জেলা, "
"চিনাখড়া, "
"দোপাল্লা, "
"আশুগঞ্জ তাপ বিদ্যুৎ কেন্দ্র উচ্চ বিদ্যালয়, "
"বাশখালী উপজেলা, "
"পুলিশ বাক্স, "
"মশিয়ালী, "
"জেলা জজ আদালত নীলফামারী, "
"এনআরবি গ্লোবাল ব্যাংক লিমিটেড, "
"উত্তর গোড়ান, "
"নোয়াগাঁপ, "
"ঘাটচেক বাজার, "
"ইবিএল ৩৬৫, "
"সড়ক ৬২, "
বীর মুক্তিযোদ্ধা মোহাম্মাদ নুরুল হক সড়ক
"আলী নগর মূল সড়ক, "
"দি ফারমার্স ব্যাংক লিমিটেড, "
"স্কয়ার হাসপাতাল, "
"সড়ক নং-৮, "
"স্মৃতি সুপার মার্কেট, "
"দকষিণপাড়া জামে মসজিদ রোড, "
"খগার হাট - ফারুকের চৌপতি সড়ক, "
"রুপালি ব্যাংক, "
"বীর উত্তম আমিনুল হক সড়ক, "
"সর্বতারা, "
"আল-আরাফাহ ইসলামী ব্যাংক লিমিটেড, "
"মতি মিয়া গলি, "
"আগা সাদেক সড়ক, "
"নহরাপাড়া, "
"মধমতি গলি, "
"নবাব বাড়ী সড়ক, "
"বেগমপুর, "
"সিএন্ডবি, "
"ঠিকানা ছাত্রাবাস, "
"বাকেরগঞ্জ জে.এস.ইউ হাই স্কুল, "
"দক্ষিণ পাইকপাড়া, "
"এইচএসবিসি ব্যাংক এটিএম বুথ, "
বো‌ম্বে স্ট্যান্ড
"বাইতুন নাজাত জামে মসজিদ, "
"গ্রামীণ ব্যাংক কামালদহ শাখা, "
নহাটা মোড বাস স্টপেজ
"করিমপুর মধ্যপাড়া জামে মসজিদ, "
"বিটিভি পরবেশপথ, "
"খগাখড়িবাড়ী ডাকঘর, "
"সড়ক নং-১৭, "
"শরৎ চনদর চকরবরতী সড়ক, "
"গ্রামীণ ব্যাংক, "
"ক্যাফে বাগদাদ রেস্টুরেন্ট, "
"ঢালি কচুয়া, "
"রিয়া জেনারেল হাসপাতাল এন্ড ডায়াগনস্টিক সেন্টার, "
"সাগর কন্যা সুপার মার্কেট, "
"সুইট সুপার হোটেল, "
"কদমতলি, "
"সুমাত্রা ফিলিং ষ্টেশন, "
"নারায়ণগঞ্জ লঞ্চ ঘাট, "
"তালমা, "
হাজির মোড়
"মুরাদনগর হাসপাতাল জামে মসজিদ, "
"সুইচ গেইট, "
"ইসলাম পুর রাবার ফ্যাক্টরী মসজিদ, "
"কলশীদিঘি সড়ক, "
"ঢাকা - চট্টগ্রাম মহাসড়ক, "
"ইছাপুর, "
"কেন্দ্রীয় মসজিদ, "
"দিল রোড, "
"সৌনালী ব্যাংক লিমিটেড, "
"বরকল, "
"সিটি ব্যাংক, "
"মাজরাকুড়া বাজার, "
"ডীন অফিস ড. মুহাম্মদ শহিদুল্লাহর হল, "
"একতা ক্লিনিক, "
"বঙ্গবন্ধু দ্বীপ, "
"হাজী সৈয়দ আহাম্মদ জামে মসজিদ, "
"শাহ আমানত আন্তর্জাতিক বিমানবন্দর, "
"জামে মসজিদ, "
"বাংলাদেশে জাপান দূতাবাসের, "
"মহাসড়ক জামে মসজিদ, "
"চর সৈয়দপুর কেন্দ্রীয় বাইতুসসালাত জামে মসজিদ, "
"রোড ৩১, "
"সমন মিয়া বাড়ির গলি, "
"কেন্দ্রিয় বড় মসজিদ, "
শহর
"শহীদ জিয়া বাসাবো উচ্চ বিদ্যালয়, "
"মুন্সিগঞ্জ, "
"দোঘর, "
"মেহেরপুর, "
"সানলাইট কিনডারগারটেন গলি, "
"মিরজাগঞজ উপজেলা, "
"স্বপ্নছোয়া ছাত্রাবাস কাস্টমমোর কুষ্টিয়া।, "
"গোপালপুর, "
"বাইতুল মামুন জামে মসজিদ, "
"বাংলাদেশ তার ও টেলিফোন লিমিটেড, "
"বরমচাল, "
"গাইদঘাট পুরান স্টেশন, "
"মানিকনগর জামে মসজিদ সাপ্রা, "
"মধু মিয়াঁর পুল, "
"কলারোয়া, "
"বিউটি পার্লার এন্ড ফিটনেস সেন্টার, "
"পূবালি ব্যাংক, "
"তুলপাই, "
"বাংলাদেশ দূর অনুধাবন প্রতিষ্ঠান স্পারসো, "
"ঢাকা - আশুলিয়া মহাসড়ক, "
"বাসাবো, "
সাচিয়াদাহ ব্রীজ
"বাতেন সাহেবের বাড়ির গলি, "
"কুন্ডপুর, "
"ইস্টার্ন ব্যাংক, "
"সড়ক ২ডি, "
"মানিক মিয়া কিন্ডারগার্টেন, "
"বরিশাল বিমানবন্দর, "
"রূপালী ব্যাংক লিমিটেড, "
"নলজুরি জামে মসজিদ, "
"ভবানিপুর, "
"বানিয়াচং উপজেলা, "
"মক্কা চক্ষু হাসপাতাল, "
"ডাচ বাংলা এজেন্ট ব্যাংক আলিফ, "
"গির্জা মহল্লা, "
"এলাহিবাগ, "
"আজাদ টেইলার্স, "
"বাইগারটেক, "
"মাদারগঞ্জ, "
রেইনট্রিতলা
"রাঘবপুর, "
"সোনারগাঁও জনপথ, "
"মহেষপুর, "
সরুই মাদ্রাসা রোড
সবরূপকাঠী-বরিশাল রাসতা
"বরুনকান্দি, "
"ভাটি চিনাইয়া, "
"আবদুল্লাহপুর, "
"পাথালিয়া, "
"গোগবাজার, "
"বাউফল উপজেলা, "
"বিষ্ণুপুর বাজার, "
"বাংলাদেশ সড়ক গবেষণাগার, "
"জোড়া খামবা রোড, "
"পতেঙ্গা বাতিঘর, "
"তিশিখালি মাজার, "
অর্জুনা গোরস্থান রাস্তা
"বাটাজোর ইউনিয়ন, "
"চিনকি আস্তানা, "
"রেলওয়ে জামে মসজিদ আশুগঞ্জ, "
"জে.ন সাহা সড়ক, "
"সেত কটির চর, "
"বটতৈল মোড় জামে মসজিদ, "
"শিশু শিখন কেন্দ্র, "
"ডিসি অফিস জামে মসজিদ, "
"মুন্সীগঞ্জ, "
"মা হোমিও ফার্মেসি, "
"শ্রী শ্রী শসান কালি মন্দির, "
"আল আরাফাহ ইসলামি ব্যাংক, "
"উপজেলা ডাক ঘর, "
কালনা সেত সংযোগ সড়ক
"সাদ্দাম টি স্টল, "
"বরিশাল বিশ্ববিদ্যালয়, "
"হাড়িখালি টু তেরখাদা খুলনা রোড, "
"পূর্ব লাড়ুয়া, "
"ডোবার পাড় সড়ক, "
"জগন্নাথপুর সেতু, "
"মালিবাগ কলেজ রোড মালিবাগ বাজার রোড, "
"কবরস্থান রোড, "
"বেকুটিয়া ফেরীঘাট, "
"প্রধানমন্ত্রীর কার্যালয়ের রাস্তা, "
"বামনদি-হাটবোয়ালিয়া-আলমডাঙগা সড়ক, "
কলাতাপাড়া বাস স্টপ
"সড়ক ৯ ব্লক এফ, "
"কালিয়াকৈর - ধামরাই মহাসড়ক, "
"লাবণী টেলিকম, "
"হাজী মল্লুক হোসেন, "
"নাটশাল, "
"নীলক্ষেত বই মার্কেট, "
"আশুগঞ্জ বিদ্যুৎ কেন্দ্র মার্কেট, "
"বান্দরবান-রোয়াংছড়ি সড়ক, "
"গ্রামীণ ব্যাংক লিমিটেড, "
"নতুন বাইপাস সড়ক, "
"এখানে কোনো হাসপাতাল নাই, "
"খাবারের হোটেল, "
"সংকরপাসা জামে মসজিদ, "
"আনসার হেডকোয়ার্টার জামে মসজিদ, "
"কাজীর বাজার বরিজ, "
"শহীদ হিটলু সড়ক, "
"শ্রী শ্রী জগন্নাথ মহাপ্রভুর সেবাশ্রম, "
"দয়াগঞ্জ নতুন রাস্তা, "
"ভালুকা, "
"বেইলী ব্রীজ জামে মসজিদ, "
"আসলাত খান জামে মসজিদ, "
"শাহ্ আমানত কুলিং কর্ণার এন্ড কফি হাউজ, "
"রেলওয়ে হাফিজিয়া সুন্নিয়া আলিম মাদ্রাসা ও এতিম খানা, "
"বাবড়ি জামে মসজিদ, "
"বাসাইল ভূমি অফিস, "
পলাশপুর রোড
"ঢাকা - বগুড়া মহাসড়ক, "
"সরাইল উপজেলা, "
শায়েসতাগঞজ সটেশন-নতন সেত সড়ক
"ভায়না, "
"জগন্নাথ বিশ্ববিদ্যালয়, "
"মিউচুয়াল ট্রাস্ট ব্যাংক, "
"ঈশ্বরদী বিমানবন্দর, "
"আল-মস্তবা হোটেল, "
"সূচনা কমিউনিটি সেন্টার মসজিদ, "
"সড়ক ৫এ, "
"ঘোষ দধি ভান্ডার, "
"বাগদি বাইতু্নুর জামি মসজিদ, "
"শরীরামকাঠী ইউনিয়ন, "
"মাকড়সান, "
"ভাটিরগাঁও, "
"পূরবাচল কসপরেসওয়ে, "
"এ কাদের চৌধুরী সরকারী প্রাথমিক বিদ্যালয়, "
"আলিপুর বাইতুস সালাত জামে মসজিদ, "
"শাহ আমানত সেতু, "
"রহমানিয়া স্টোর, "
"লেক ড্রাইভ রোড, "
"চিলমারী, "
"পশ্চিম পাড়া, "
"উততর বাজার বরিজ, "
"ইতনা, "
"মনপুরা মাধ‍্যমিক বিদ‍্যালয়, "
"পূর্ব রাজাপুর সরকারি প্রাথমিক বিদ্যালয়, "
"মহিরউদ্দিন সড়ক, "
"সদর রসুলপুর, "
"বালিয়া, "
"হায়দারাবাদ গজারীর টেক নূরে মদিনা জামে মসজিদ, "
পরামানিক বাড়ী রোড
"চর ভৈরবী, "
"লিয়াকত মার্কেট, "
"শাহ সাহেব নগর, "
"নাটোর জেলা, "
"সাতপারিয়া, "
"বেলাবো উপজেলা, "
"বারুহাস মেলাপাড়া মসজিদ, "
"জঙ্গল, "
"হারবাং ওসমান বিন আফফান রাযি. কেন্দ্রীয় জামে মসজিদ ও মাদ্রাসা, "
"মতিঝিল, "
"সেকটর ১৪, "
"কাজী বাড়ী দকষিণ পাশের গলি, "
"ডোমার, "
"সরদার বাড়ী, "
"মানি গ্রাম, "
"ঈশান মিস্ত্রির হাট, "
"বঙ্গবন্ধু বেসরকারি প্রাথমিক বিদ্যালয়, "
"পঞ্চতত্ত্ব'স, "
"মেরিনার্স ড্রাইভ সড়ক, "
"থুকড়া, "
"ডিমলা রাণী বৃন্দারাণী সরকারি উচ্চ বিদ্যালয়, "
"মাদ্রাসা মারকাতুস সুন্নাহ তাহিয়্যাতুত তুল্লাহ, "
"জহিরাবাদ, "
"কাকরাইল মসজিদ, "
"বরিশাল পোস্ট অফিস, "
"মিরপুর বেড়িবাধ সড়ক, "
"সিদধেশবরী সড়ক, "
"সেন্ট মার্টিন উত্তর সৈকত, "
"আশকোনা সিটি কমপ্লেক্স সড়ক, "
"পান্না হোটেল, "
"মসলিমবাগ সড়ক নং ৬, "
"ভৈরব স্টেডিয়াম, "
অর্জুনা পূর্ব পাড়া রাস্তা
"নিউ জননি ইলেকট্রিক, "
"নতুন পোল মার্কেট, "
"সড়ক নং-১৬, "
"ইসলাম নগর সড়ক নং ৪, "
"তা'লীমূল ইসলাম মাদ্রাসা, "
"ফুলবাড়ীগেট, "
"কালীর চর, "
"চরনিয়ামত বড় মসজিদ, "
"হোসেনপুর, "
"আলমডাঙ্গা গরু বাজার সড়ক, "
"বাংলাদেশ পুলিশ, "
"ডাচ বাংলা ব্যাংক, "
"চর দুয়ানতি, "
"মাদারীপুর, "
"কালিয়াকৈর, "
"দরি হয়াতপুর, "
"হাসিনা হোটেল, "
"এবিসি স্কুল, "
"হাজী ক্যাম্প সড়ক, "
"খন্দকার সিএনজি এন্ড ফিলিং স্টেশন, "
"রামচন্দ্রপুর, "
"শাহী কলোনী মসজিদ, "
"খিলপাড়া সেত, "
"খালপাড়/কবরসথান সড়ক, "
"নবাববাড়ি, "
"ডাচ-বাংলা সড়ক গলি, "
"বড়গরাম কড়ারঘাট মূল সড়ক, "
"লোহাগাড়া উপজেলা পরিষদ জামে মসজিদ, "
"খানকাহ সিরাজিয়া, "
"দক্ষিণ বাসাবো, "
"ধাপেরহাট নায়েবীয়া কেন্দ্রীয় জামে মসজিদ, "
"বারুহাস - রানীহাট রোড, "
"গোপাল নগর মন্দির, "
"তারাপুর, "
"অলদিনী বালিকা বিদ্যালয়, "
"কাশফুল হোটেল এন্ড বিরানী হাউজ, "
"মুরারিরটেক, "
"বহুরিয়া, "
"ভরত রাজার দেউল, "
"মগবাজার বাস স্টপ, "
"রহিমের ডিসের দোকান, "
"বেগুনবাড়ী, "
"বিশ্ববিদ্যালয় মসজিদ, "
"সটেডিয়াম রোড, "
"আনসার ভিডিপি উন্নয়ন ব্যাংক, "
মহিননদ চরপাড়া- উততরপাড়া মধযবরতী বরিজ
"দেওহাটা ঈদগাহ, "
"ফুলগাজী থানা, "
"পুকুর ঘাট, "
"ফরিদকান্দি, "
"ইসলামি ব্যাংক বাংলাদেশ লিমিটেড, "
"অজগরা, "
"দকষিণ রসলপর ২ নং সড়ক বিদযৎ অফিস গলি, "
"ডোমার - ডিমলা সড়ক, "
"চর সুবন্দি, "
"চর মুকুন্দি, "
"চাঁদপুর টি ষ্টোর, "
"বাসস্ট্যান্ড জামে মসজিদ, "
"ভানডারিয়া-কাঠালিয়া সড়ক, "
ফরিদুল আলম সড়ক
"তাম্রশাসন, "
"পচা পুকুরের গলি, "
খিলা-নাঙগলকোট রোড
"পোড়াবাড়ী, "
"রিফাত সু এন্ড শাড়ী সেন্টার, "
"আবুল কাসেম রোড, "
"মিরপর-বনানী ফলাইওভার, "
"টপ টেন ফেব্রিক্স এন্ড টেইলরস, "
"করোতোয়া, "
"লালবাগ সড়ক, "
"নুরবাগ, "
"শৈলকুপা, "
"বাসস্টান্ড মসজিদ, "
"গোড়ল, "
"বিজিবি ৫০ বেড হাসপাতাল, "
"দামপাড়া, "
"বাংলাদেশ আওয়ামিলীগ, "
"কাঠ পট্টি, "
"মিসেস ইসরাইল তালুকদার ফাইলিং স্টেশন, "
"সাপমারা - গৌরীপুর রাস্তা, "
"শেরকোল, "
"বঙ্গসোনাহাট, "
উততর দমদমা রোড
"ভোলা সদর উপজেলা, "
