,bn_phrases,en_translated,Unnamed: 0
71,"পাইটি জামে মসজিদ, ","Piti Jame Mosque,",
72,"আশরাফাবাদ প্রধান সড়ক, ","Ashrafabad main road,",
73,"দক্ষিণ মনিপুর, ","South Manipur,",
74,"নাটশাল, ","Natashal,",
75,"খাজাডাঙ্গা, ","Khwajadanga,",
76,"সাউথইস্ট ব্যাংক লিমিটেড এটিএম, ","Southeast Bank Ltd ATM,",
77,"মিলনকুঞ্জ কমিউনিটি সেন্টার, ","Milankunj Community Center,",
78,"কলেজ পুকুরপাড় জামে মসজিদ, ","College Pond Jame Mosque,",
79,"চন্দ্রকান্দি, ","Chandrakandi,",
80,"আলহাজ্ব মদিন সুপার মার্কেট, ","Alhaj Madin Super Market,",
81,"লক্ষ্মীপুর, ","Lakshmipur,",
82,"মঠবাড়িয়া থানা, ","Mathbaria police station,",
83,"বাউশী, ","Bossi,",
84,"সিদ্দিকী জামে মসজিদ, ","Siddiqui Jame Mosque,",
85,তীর্থবাসীর রোড,Pilgrimage,
86,ধুমপাড়া রোড,Dhumpara Road,
87,"তন্তর, ","Fiber,",
88,"চলবলা, ","Moving,",
89,"আক্কেলপুর, ","Akkelpur,",
90,"জামালপুর রেলওয়ে স্টেশন (জং), ","Jamalpur Railway Station (Jung),",
91,"কাঠপট্টি জামে মসজিদ, ","Kathpatti Jame Mosque,",
92,"ওসমানী উদ্যান, ","Osmani Gardens,",
93,"রাজনগর মাদ্রাসা মসজিদ, ","Rajnagar Madrasa Mosque,",
94,"পাল তালুক, ","Pal Taluk,",
95,"ইবনে আব্বাস রহমতুল্লাহ ইন্সটিটিউট, ","Ibn Abbas Rahmatullah Institute,",
96,"কবি জসীমউদ্দীন সড়ক, ","Poet Jasimuddin Road,",
97,"জননী সংসদ, ","Mother's Parliament,",
98,"হামিদা সি এন জি সার্ভিস সেন্টার, ","Hamida C NG Service Center,",
99,"সেনা কল্যান ভবন, ","Army Kalyan building,",
100,"টেকনাফ সড়ক, ","Teknaf road,",
101,"এনবিআর ব্যাংক, ","NBR Bank,",
102,"ডাচ-বাংলা ব্যাংকের এজেন্ট ব্যাংকিং, ","Dutch-Bangla Bank Agent Banking,",
103,"জনতা ব্যাংকের এরিয়া অফিস, ","In the Area Office of Janata Bank,",
104,"বড়চালা সরকারি প্রাথমিক বিদ্যালয় মাঠ, ","Barachala Government Primary School Field,",
105,"বাঘা, ","Tiger,",
106,"কুমুদিনি মহিলা মেডিকেল কলেজ, ","Kumudini Female Medical College,",
107,"বারৈগাঁও, ","Bariagaon,",
108,"বাইতুল আমান জামে মসজিদ, ","Baitul Aman Jame Mosque,",
109,"আনসার ভিডিপি ব্যাংক, হাটহাজারী শাখা, ","Ansar VDP Bank, Hathazari Branch,",
110,"মামা ভাগিমা অটো ইন্জিনিয়ারিং ওয়ার্কস, ","Mama Bhagima Auto Engineering Works,",
111,"আমবাগান টি স্টল, ","Ambagan Tea Stall,",
112,"কুষ্টিয়া বাইপাস, ","Kushtia Bypass,",
113,"সিটি ব্যাংক, ","City Bank,",
114,"দক্ষিণ শাহজাহানপুর, ","South Shahjahanpur,",
115,"সামন্তসেনা, ","Samantasena,",
116,"শাহিন এন্ড ব্রাদার্স ফিলিং ষ্টেশন, ","Shaheen & Brothers Filling Station,",
117,"ফাস্ট সিকিউরিটি ইসলামী ব্যাংক লিমিটেড, ","Fast Security Islami Bank Limited,",
118,কুচিয়ামোড়া বাস স্ট্যান্ড,Kuchiamora bus stand,
119,"পানদীঘি, ","Pandighi,",
120,"ওয়াসা পানির পাম্প, ","Wasa water pump,",
121,"পাগলীডাঙ্গী, ",Crazy,
122,"খাস চর, ","Khas Char,",
123,"আতাইকুলা ইউনিয়ন ডিজিটাল সেন্টার, ","Ataikula Union Digital Center,",
124,"বটতলী মাজার গেট, ","Battali shrine gate,",
125,"টাঙ্গাইল কালেক্টরেট বালিকা উচ্চ বিদ্যালয় ও কলেজ, ","Tangail Collectorate Girls High School and College,",
126,"সরকার পাড়া, ","Government laid,",
127,"ট্রাস্ট ব্যাংক, ","Trust Bank,",
128,"গিরাইল, ","Girile,",
129,"দিনাজপুর, ","Dinajpur,",
130,"এফ আই ডি সি জামে মসজিদ, ","FID C Jame Mosque,",
131,"গোপীনাথপুর, ","Gopinathpur,",
132,রামপাল তাপ বিদ্যুৎকেন্দ্র রোড,Rampal thermal power plant road,
133,"কপিরাইট অফিস, ","Copyright Office,",
134,"ঢাকা-চট্টগ্রাম মহাসড়ক, ","Dhaka-Chittagong highway,",
135,"স্টার কাবাব এন্ড রেস্টুরেন্ট, ","Star Kebab & Restaurant,",
136,"মুন্সীগঞ্জ-লৌহজং-মাওয়া সড়ক, ","Munshiganj-Louhjong-Mawa Road,",
137,"আহসানগঞ্জ, ","Ahsanganj,",
138,"চর ইশানবালা, ","Char Ishanbala,",
139,"বাইতুল আতিক জামে মসজিদ, ","Baitul Atiq Jame Mosque,",
140,"আশুগঞ্জ থানা, ","Ashuganj police station,",
141,"সংবাদপুর বাজার(মান্নানঘাঁট), ","Newspur Bazaar (Mannanghat),",
142,"পোস্তগোলা শ্মশান ঘাট, ","Postgola crematorium ferry,",
143,"ঝাউ চর, ","Zhou Char,",
144,"ঢাকা হাউজিং সোসাইটি জামে মসজিদ, ","Dhaka Housing Society Jame Mosque,",
145,"গুলশান সমিতি মসজিদ, ","Gulshan Samiti Mosque,",
146,"দক্ষিণ শ্রীপুর, ","South Sripur,",
147,"মমিসাং কিন্ডার গার্টেন স্কুল, ","Mamisang Kinder Garten School,",
148,জেলখানা মোড়,Jail,
149,"পূর্ব নন্দিপাড়া, ","East Nandipara,",
150,"চুনিয়াপাড়া মোড়, ","To bend of Chuniapara,",
151,"পটুয়াখালী তিতাস সিনেমা হল, ","Patuakhali Titas Cinema Hall,",
152,"ফাতেমা মেডিকেল হল, ","Fatima Medical Hall,",
153,"রামকৃষ্ণপুর বাজার জামে মসজিদ, ","Ramakrishnapur Bazar Jame Mosque,",
154,"দক্ষিণ রাজাপুর, ","South Rajapur,",
155,"পঞ্চগড় ফলপট্টি, ","Panchagarh Frupatti,",
156,"বন্দরটিলা বাজার, ","Bandartila Bazar,",
157,"তেজকুনিপাড়া, ","Tejakunipara,",
158,"ভাটপাড়া, ","Bhatpara,",
159,"মনিকানন স্কুল মাঠ, ","Monikanan school grounds,",
160,"কেশরকোট, ","Hairschot,",
161,"বনানী, ","Banani,",
162,"বাইপাস রোড, ","Bypass Road,",
163,"ইদ্রাকপুর কেল্লা, ","Idrakpur Fort,",
164,"হাজী মোজাম্মেল হক সরকারি প্রাথমিক বিদ্যালয়, ","Haji Mozammel Haque Government Primary School,",
165,"সুন্দরবন, ","Sundarbans,",
166,"বড়ইতলী, ","Elderly,",
167,"সড়ক ৫৯, ","Road 1,",
168,"আবদুল্লাহপুর, ","Abdullahpur,",
169,"শামসুন নাহার ক্লিনিক, ","Shamsun Nahar Clinic,",
170,"মিরপুর রোড, ","Mirpur Road,",
171,"জিয়া সরণি সড়ক, ","Zia Sarani Road,",
172,"সড়ক ২০, ","Road 20,",
173,বাংলা কলোনী রাস্থা,Bengali Colony,
174,"আশিকাটি, ","Ashikati,",
175,"সাবানওয়ালা গলি, ","Soap -lane,",
176,"বাসাইল, ","Basile,",
177,"আদিমপুর, ","Adampur,",
178,"হাজী শরীয়তউল্লাহ সেতু, ","Haji Shariatullah Bridge,",
179,"রণচণ্ডি, ","Ranchandi,",
180,"ডুমনী, ","Dumni,",
181,"মতির হাট, ","Moti Hat,",
182,"ডোমরিয়া, ","Domaria,",
183,"থুকড়া, ","Sprinkle,",
184,"বিথী হেয়ার সেলুন, ","Bithi Hair salon,",
185,"মিলন সড়ক, ","Milan road,",
186,"ওমর ফজল গলি, ","Omar Fazal lane,",
187,"নলুয়া পাড়া জামে মসজিদ, ","Nalua Para Jame Mosque,",
188,"লিংক রোড বাস স্টেশন, ","Link Road bus station,",
189,"উর্দু রোড, ","Urdu Road,",
190,"ৰেণী বাজার, ","The market,",
191,"বিরামপুর পাইলট উচ্চ বিদ্যালয়ের মাঠ, ","Birampur Pilot High School grounds,",
192,"যোগীচাপর, ","Yogichapar,",
193,"মারামুড়া, ","Maramura,",
194,"কুরগাঁও সড়ক, ","Kurgaon Road,",
195,"সড়ক নং ১১, ","Road No. 1,",
196,"দায়চারা, ","Liability,",
197,"আনমিকা ঔষধ ঘর, ","Anmika medicine house,",
198,"মেডিসিন্স সান্স ফ্রন্টিয়ার্স, ","Medicines Sans Frontiers,",
199,"বদরখোলা বাজার, ","Badarkola Bazar,",
200,"ইষ্টি কুটুম, ","Isti Kutum,",
201,"শাহবাজকান্দি, ","Shahbazkandi,",
202,"লাল মিয়া মেম্বার গলি, ","Red Mia Member lane,",
203,"টেকেরহাটি গলি, ","Takerhati lane,",
204,"রাজারহাট চামড়ার বাজার, ","Rajarhat Leather Market,",
205,"গাজিপুর, ","Gazipur,",
206,"কেন্দুয়া জয়হরি হাই স্কুল খেলার মাঠ, ","Kendua Joyhari High School Playground,",
207,"পেলা গাজী দিঘী বাজার, ","Pella Ghazi Dighi Bazar,",
208,"বিকাশ প্লাস, চকোরিয়া, ","Vikas plus, Chuckorea,",
209,"মামুদনগর, ","Mamudnagar,",
210,তেরখাদা নাচুনিয়া কুশলা পাতলা রোড,Terakhada Nachunia Kushla Thin Road,
211,"আলমডাঙ্গা গরু বাজার সড়ক, ","Alamdanga Cow Market Road,",
212,"শারমিন ফিলিং স্টেশন, ","Sharmin Filling Station,",
213,"আরা ফ্যাশান, ","Ara Fashion,",
214,"মাজরাকুড়া বাজার, ","Majrakura Bazar,",
215,"রায়পুর, ","Raipur,",
216,"ঢুশুয়া, ","Squeeze,",
217,"হাজীপাড়া, ","Hajipara,",
218,"সড়ক ৪০১, ","Road 1,",
219,"সিদ্দিক মিয়া সরকারি প্রাথমিক বিদ্যালয়, ","Siddique Mia Government Primary School,",
220,"৯ নং রোড, ","Road No. 4,",
221,"শর্শদী রেল ষ্টেশন, ","Sarshadi Rail Station,",
222,"বনানী সুপার মার্কেট, ","Banani Super Market,",
223,"আটকড়া, ","Chatter,",
224,"কানাইঘাট, ","Kanighat,",
225,"খিলপাড়া সরকারি প্রাথমিক বিদ্যালয়, ","Khilpara Government Primary School,",
226,"দাকুরকান্দি, ","Dakurkandi,",
227,"নতুন সেতু, ","New Bridge,",
228,"আগা নগর, ","Aga Nagar,",
229,"মহসিন মার্কেট, ","Mohsin Market,",
230,"সবজিবাগান জামে মসজিদ, ","Vegetable Jama Masjid,",
231,"মোহাম্মাদপুর ঈদগাহ, ","Mohammadpur Eidgah,",
232,"সিএসডি ফেনী বাস স্টপ, ","CSD Feni Bus Stop,",
233,"ভিঙ্গুলিয়া, ","Vingulia,",
234,"পায়রা সেতু, ","Pigeon bridge,",
235,"দক্ষিণ মুগদা, ","South Mugda,",
236,"যশোর-নড়াইল মহাসড়ক, ","Jessore-Narail highway,",
237,"মুক্তিযোদ্ধা ও মুক্তিযোদ্ধা প্রজন্ম কল্যান ও পুনর্বাসন সোসাইটি, ","Freedom fighters and freedom fighters generation welfare and rehab Society,",
238,"৬ষ্ঠ লেন, ","6th lane,",
239,"আঙ্গারজোড়া, ",Angar,
240,"অলদিনী বালিকা বিদ্যালয়, ","Allini Girls' School,",
241,"শহিদ ক্যাপ্টেন মুনসুর আলী সড়ক, ","Shaheed Captain Mansur Ali Road,",
242,"মাস্টার গার্মেন্টস অ্যান্ড বস্ত্রালয়, ","Master Garment and Textile,",
243,"পিংনা, ","Pingna,",
244,"কাঠুরিয়া, ","Kathuria,",
245,"সিটি পার্ক, ","City Park,",
246,"শাহজালাল ইসলামী ব্যাংক এটিএম, ","Shahjalal Islami Bank ATM,",
247,"শায়েস্তা খান সড়ক, ","Shaista Khan Road,",
248,"রোড নম্বর ৪, পিসিকালচার হাউজিং সোসাইটি, ","Road Number 1, Pisiculture Housing Society,",
249,"বড় বাজার চাঁদনী, ","Large Market Chandni,",
250,"বেতুয়া লঞ্চ ঘাট, ","Betua Launch Ghat,",
251,"শিয়ালী, ","Fox,",
252,"পুরাতন পাকা জামে মসজিদ, ","Old ripe Jame Mosque,",
253,"মক্কা চক্ষু হাসপাতাল, ","Mecca Eye Hospital,",
254,"আনন্দ মার্কেট, ","Anand Market,",
255,"ঢাকিরগাঁও, ","Dacirgaon,",
256,"ফুলদিঘী জামে মসজিদ, ","Fuldighi Jame Mosque,",
257,"পশ্চিম লাড়ুয়া, ","West Larua,",
258,"বোয়ালমারী, ","Boalmari,",
259,"বাড্ডা কবরস্থান, ","Badda Cemetery,",
260,চাক্তাই সড়ক,Chakti road,
261,"কাজিরকাপ, ","Kazircap,",
262,"রূপনগর ৩ নং সড়ক গলি, ","Rupnagar No. 4 Road street,",
263,"এওচিয়া, ","Aochia,",
264,সাইনবোর্ড অটো ষ্টেশন,Signboard auto station,
265,"সাভার ক্যান্টনমেন্ট, ","Savar Cantonment,",
266,"লালুয়া মাঝিড়া, ","Lalua Madhira,",
267,নহাটা মোড বাস স্টপেজ,Nahata mode bus stops,
268,"রোড ৩৪, ","Road 1,",
269,"বড় বাজার, ","Large market,",
270,"বনলতা বুটিকস এন্ড ট্রেনিং সেন্টার, ","Banalta Boutiques & Training Center,",
271,"মৌলভীবাজার, ","Moulvibazar,",
272,ভুল্লীর হাট,Hats,
273,"গোলাপবাগ জামে মসজিদ, ","Golapbag Jame Mosque,",
274,"সাচান দীঘি, ","Sachan Dighi,",
275,"চৌধুরীগাঁও, ","Chowdhuryigaon,",
276,"আদর মার্কেট, ","Adar Market,",
277,"বড়হর, ","To the house,",
278,"দাদন মাতবর গলি, ","Matabar Matabar alley,",
279,"লক্ষীপাশা বাজার, ","Lakshipasha Bazar,",
280,"বাইতুস সালাত জামে মসিজদ, ","Baitus Salat Jama Masizad,",
281,"আইএফআইসি ব্যাংক লিমিটেড, কারওয়ানবাজার শাখা, ","IFIC Bank Limited, Karwan Bazar Branch,",
282,"ডিআইটি সড়ক, ","DIT road,",
283,"হাজরাবাড়ী, ","Hazarabari,",
284,"সাভার ক্যান্টনমেন্ট পাবলিক স্কুল অ্যান্ড কলেজ, ","Savar Cantonment Public School and College,",
285,"নদ্দাপাড়া, ","Naddapara,",
286,"গণবাংলা রেস্টুরেন্ট, ","Ganabangla Restaurant,",
287,"ইসলামী ব্যাংক বাংলাদেশ লিমিটেড, বানেশ্বর শাখা, ","Islami Bank Bangladesh Limited, Baneshwar Branch,",
288,"ঢাকা-সিলেট মহাসড়ক, ","Dhaka-Sylhet highway,",
289,"রুপালী ব্যাংক, ","Rupali Bank,",
290,"আদর্শ কারিগরি স্কুল এন্ড কলেজ, ","Ideal Technical School and College,",
291,"শিবচর, ","Shibchar,",
292,"মুড়াপাড়া, ","Murapara,",
293,"ঘনিয়া, ","Ghania,",
294,"কেন্দ্রীয় শহীদ মিনার, ","Central Shaheed Minar,",
295,"এম ইউ স্কুল মসজিদ, ","MU School Mosque,",
296,"সূত্রাপুর, ","Sutrapur,",
297,"হবিগঞ্জ, ","Habiganj,",
298,"দয়াগঞ্জ সড়ক, ","Dayaganj Road,",
299,"পূবালী ব্যাংক, ","Pubali Bank,",
300,"কিরণ পাটোয়ারী গলি, ","Kiran Patwari lane,",
301,"ডিপুইল, ","Dipuel,",
302,"নীলফামারী গণগ্রন্থাগার, ","Nilphamari Public Library,",
303,"সদর রোড, ","Sadar Road,",
304,"ছাপরা জামে মসজিদ, ","Chhapra Jame Mosque,",
305,আরামবাগ রোড,Arambagh Road,
306,"অপুর্ব হারবাল বিউটি পার্লার এন্ড ট্রেনিং সেন্টার, ","Apurba Herbal Beauty Parlor & Training Center,",
307,বাসাবাটি রোড,Basabati Road,
308,"নোয়াগাঁও উত্তরপাড়া জামে মসজিদ, ","Noagaon Uttarpara Jame Mosque,",
309,"তাবাসসুম বিউটি পার্লার, ","Tabassum Beauty Parlor,",
310,"বরিশাল, ","Barisal,",
311,"ময়দার মিল গলি, ","The flour mill lane,",
312,"বেইলী ব্রিজ, ","Bailey Bridge,",
313,"গোলাবাড়ী, ","Golabari,",
314,"বাচপুর, ","Bachpur,",
315,"সিলেট রেলওয়ে স্টেশন, ","Sylhet Railway Station,",
316,"মোস্তফাগঞ্জ মাদরাসা মসজিদ, ","Mostafganj Madrasa Mosque,",
317,"সোহেল কম্পিউটার কে.বি.বাজার, ","Sohail Computer KB Bazar,",
318,"কামারপাড়া সড়ক, ","Kamarpara Road,",
319,"ওসমান মিয়ার বাড়ীর গলি, ","Osman Mia's house lane,",
320,"ক্যাফেটেরিয়া, ","Cafeteria,",
321,"ভূঞাপুর, ","Bhuapur,",
322,"গুরু সংঘ লোকনাথ মন্দির, ","Guru Sangha Loknath Temple,",
323,"ভুঁইগড়, ","Bhuigarh,",
324,"১ম গোবিন্দপুর জামে মসজিদ, ","1st Govindpur Jame Mosque,",
325,"ইসলামী ব্যাংক মহিলা মাদ্রাসা, ","Islami Bank Women's Madrasa,",
326,"পঞ্চায়েত বাড়ি সড়ক, ","Panchayat Home Road,",
327,"নলসটা জামে মসজিদ, ","Nalsata Jame Mosque,",
328,"ডাক বাংলা, বিবিরহাট ফটিকছড়ি, ","Duck Bangla, Bibirhat Fatikchari,",
329,"সাখুয়া, ","Sakhua,",
330,"কবিরহাট, ","Kabirhat,",
331,"বস সুইটস, ","Boss sweats,",
332,"রূপালি সৈকত, ","Silver beach,",
333,"এ বি ব্যাংক লিমিটেড, ","AB Bank Limited,",
334,"বিসমিল্লাহ্ হার্ডওয়্যার এন্ড গ্লাস হাউজ, ","Bismillah Hardware & Glass House,",
335,"নিউ ইস্কাটন, ","New Eskaton,",
336,"যশোর সেনানিবাস রেলওয়ে স্টেশন, ","Jessore Cantonment Railway Station,",
337,"জয় বাংলা, ","Joy Bangla,",
338,"মাগুরা জেলা স্টেডিয়াম, ","Magura District Stadium,",
339,"ঝিলের পাড় জামিয়া কিরাতুল হাফিজিয়া মাদ্রাসা, ","Jamia Kiratul Hafizia Madrasa,",
340,"মেহেন্দীগঞ্জ, ","Mehndiganj,",
341,"সেতু উত্তর বন্দর, ","Bridge northern port,",
342,"জাতিসংঘ গোলচক্কর, ","UN Golcark,",
343,"জলসিঁড়ি আবাসন, ","Jalmari housing,",
344,"ডাচ বাংলা ব্যাংক এটিএম বুথ, ","Dutch Bangla Bank ATM Booth,",
345,"মোহাম্মদিয়া টেলিকম এন্ড ক্লথ স্টোর, ","Mohammadia Telecom & Cloth Store,",
346,"জনতা সড়ক, ","Janata Road,",
347,"সুইচ গেইট, ","Switch gate,",
348,"মা-বাবা স্টোর, ","Parents Store,",
349,"পিরোজপুর-শাপলা বাড়ি সড়ক, ","Pirojpur-Shapala house road,",
350,"হুজুরপাড়া ৩ নং গলি, ","Hujurpara No. 4 alley,",
351,"ধুরধুরিয়া সড়ক, ","Dhurdhuria road,",
352,"ব্যাপারির হাট বাজার, ","Bari Hat Bazaar,",
353,তাড়াশ-মান্নান নগর রোড,Tarash-Mannan Nagar Road,
354,আব্দুল খালেক পোষ্ট মাষ্টার বাড়ী সড়ক,Abdul Khalek Post Master's house,
355,"মিরপুর ৭, ","Mirpur 1,",
356,"দেওয়ানবাড়ী জামে মসজিদ, ","Dewanbari Jame Mosque,",
357,"সোনাতলা, ","Sonatla,",
358,"বাইগারটেক, ","Biggertek,",
359,"সড়ক ১৮, ","Road 1,",
360,"মুকিম কাটরা, ","Mukim Katra,",
361,"মল্লিকবাড়ি, ","Mallikbari,",
362,"মুনলাইট ইলেট্রিশিয়ান এন্ড লাইটিং, ","Moonlight Electrician & Lighting,",
363,"তৃপ্তি হোটেল এন্ড রেস্টুরেন্ট, ","Satisfaction Hotel & Restaurant,",
364,"মাথাভাঙ্গা সেতু, ","Headbrows bridge,",
365,"ফুলজোর ডিগ্রি কলেজ, ","Fulljore Degree College,",
366,"শান্তর চায়ের দোকান, ","Shantar tea shop,",
367,"ইসলামী ব্যাংক বাংলাদেশ লিমিটেড এটিএম, ","Islami Bank Bangladesh Limited ATM,",
368,"পতেঙ্গা বাতিঘর, ","Patenga lighthouse,",
369,"ইসলামী উন্নয়ন ব্যাংক, ","Islamic Development Bank,",
370,"শহীদ ইয়াকুব হোসেন মার্কেট, ","Shaheed Yakub Hossain Market,",
371,"বড় রঘুনাথপুর, ","Big Raghunathpur,",
372,"কানুদাসদী, ","Kanudasadi,",
373,"কুতৈয়া, ","Kutaiya,",
374,"স্বরূপকাঠী, ","Swarupakathi,",
375,"শেখ সাহেব বাজার, ","Sheikh Bazar,",
376,"শান্ত সেলুন এন্ড হেয়ার ড্রেসার, ","Quiet salon and hairsrish dresser,",
377,"ঈশ্বরদী উপজেলা পরিষদ, ","Ishwardi Upazila Parishad,",
378,"আল আরাফাহ ইসলামী ব্যাংক লিমিটেড, ","Al -Arafah Islami Bank Limited,",
379,"পদুয়া, ","Padua,",
380,"কুর্মিটোলা গলফ ক্লাব, ","Kurmitola Golf Club,",
381,"আড়ফাঙ্গাশিয়া ব্রীজ, ","Herfangasia Bridge,",
382,"ব্যুরো বাংলাদেশ, ","Bureau Bangladesh,",
383,"হাসপাতাল মসজিদ, ","Hospital Mosque,",
384,"ভাণ্ডারিয়া পোস্ট অফিস, ","Bhandaria Post Office,",
385,"কাটাখালি, ","Katakhali,",
386,"খান্দার, ","Kicks,",
387,"ছেঁড়া দ্বীপ, ","The island of squeeze,",
388,"কাজী হারুনুর রশিদ রেজিঃ প্রাথমিক বিদ্যালয়, ","Kazi Harunur Rashid Regi: Primary School,",
389,"ঘাটারচর উপজেলা পরিষদ মার্কেট, ","Ghatarchar Upazila Parishad Market,",
390,"স্বাধীনতা চত্বর নাটোর।, ","Freedom Square Natore.,",
391,"ডি ব্লক ৬ নং সড়ক, ","D Block No. 4 Road,",
392,"হানারচর, ","Hawker,",
393,"আঙ্গারজোড়া আহলেহাদীছ জামে মসজিদ, ","Angarajora Ahlehadisch Jame Mosque,",
394,"বেলদারপাড়া, ","Beldarpara,",
395,"রয়েল প্যালেস রেঁস্তোরা, ","Royal Palace Restaurant,",
396,"আলমগীন বাড়ির গলি, ","Alamagin home lane,",
397,"আড়াইহাজার, ","Two and a half thousand,",
398,"মিরপুর মডেল থানা, ","Mirpur Model Police Station,",
399,"শান্তিনগর রোড, ","Shantinagar Road,",
400,"হোটেল মানিক আবাসিক, ","Hotel Manik Residential,",
401,"সারালি আদর্শ উচ্চ বিদ্যালয়, ","Sarali Ideal High School,",
402,"সাগুফতা, ","Sagufata,",
403,"ধনারপাড়, ","Reduction,",
404,"নির্বাচন অফিস, ","Election Office,",
